D_lvot,D_an,D_sinus,D_stj,AVA,angle,ratio_lvot_over_an_area,H_sinus
23.62584908,23.83676505,33.94487796,28.93568198,86.2114391,32.96820623,0.982381599,26.5
21.66777277,22.36440757,32.01641877,30.43002766,39.09833235,28.44586913,0.938671752,21.5
24.22633319,26.10300533,33.78385,29.7902421,65.71496415,36.41526673,0.861379135,25
29.00051598,28.43880095,36.38919381,32.1777222,84.40090475,21.71789062,1.039893556,23.5
26.38023794,26.64212728,32.70002662,28.13006706,72.71173807,17.18573723,0.980436835,24.5
17.95989157,19.62801117,28.615664,24.30751102,45.97901877,26.92531838,0.837249367,22
24.65997899,24.52804253,29.55370703,24.78007007,61.46057553,28.6861426,1.010786943,28
24.26169674,25.01641245,35.48020488,30.34156456,74.89836359,22.42626802,0.940572513,26.5
21.72150399,23.11206869,29.66316272,27.89919822,75.03538591,19.57755015,0.883287624,21.5
26.1746171,25.56016647,36.00714069,31.1894048,36.91885313,38.90944887,1.048656658,27
26.2933246,25.22363301,29.52875608,27.81549839,40.32018297,13.65329807,1.08661508,21.5
27.17711832,26.03214969,32.14254444,27.8688748,51.76973744,27.47887191,1.08990023,25.5
21.43696954,22.94795587,30.15954904,27.44824034,65.43157988,14.91404202,0.872647341,25
31.13554523,29.69268718,36.92005779,33.9585866,28.50436715,31.21593866,1.099547371,27.5
29.70338382,29.42886256,38.28547969,32.17833032,82.75879553,23.14283963,1.018743618,30
24.1207046,26.05682658,37.54289649,35.48643045,74.99156612,24.15313283,0.856913402,26.5
28.26583917,26.66618827,33.72211969,30.99465539,93.59894682,38.56454458,1.123574529,25.5
28.17320212,28.0025309,34.32019258,30.56168546,53.3094753,30.42983361,1.012226847,25.5
21.1314984,20.83586309,25.26282173,21.28179694,26.29141313,20.27526952,1.028578865,25
22.30699602,23.73368752,33.48031851,30.51164728,63.85260518,27.00036226,0.883388496,25
21.91508328,22.90111976,28.7719927,26.7121295,40.85119448,16.39292052,0.915741329,20.5
27.81704627,27.28925928,39.0713714,38.72802802,88.35954535,24.16990198,1.039054985,22.5
19.95676617,20.50929936,29.79973937,27.28187979,62.85139521,15.34502995,0.946844562,22.5
24.10221432,25.10862762,36.40280579,31.78623545,85.4647176,33.18517439,0.921441857,29
27.74442962,26.84912583,33.87953548,30.67011397,75.37719914,20.94488261,1.067803405,25
26.68222026,25.97479035,30.74565454,27.12676198,148.6226214,17.76857548,1.055212259,26.5
22.82093488,23.99821936,33.67585342,31.15234561,77.50091789,24.97753578,0.904292285,24
25.61313634,26.70779593,38.44371199,32.68778162,85.43979486,22.84013236,0.919706856,30
26.90580121,27.38663616,34.79525178,31.98594178,97.54396029,22.22118447,0.965193691,25.5
19.68311811,20.93576576,30.15821397,27.23563066,64.7777394,36.50221662,0.88391417,25.5
20.25467092,21.06650636,27.17813291,25.29935865,55.21218163,22.31796124,0.924411512,21
